employee_id,first_name,last_name,email,birthdate,age,gender,race,marital_status,state,start_date,exit_date,employee_status,employment_type,employee_classification_type,termination_type,title,department,payzone,performance_score,current_rating
1029,Brittany,Hurley,brittany.hurley@bilearner.com,6/1/1979,46,Female,Asian,Divorced,MA,4/28/2020,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1030,Niko,Hamilton,niko.hamilton@bilearner.com,7/6/1955,70,Male,Black,Single,MA,10/29/2019,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1031,Ruben,Martinez,ruben.martinez@bilearner.com,10/29/1972,52,Male,White,Widowed,MA,4/28/2021,NULL,Active,Part-Time,Temporary,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1032,Kiley,Haynes,kiley.haynes@bilearner.com,7/1/1954,71,Male,Asian,Widowed,MA,4/19/2022,8/26/2022,Voluntarily Terminated,Full-Time,Full-Time,Voluntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1033,Blaine,Brooks,blaine.brooks@bilearner.com,3/28/1997,28,Male,Other,Single,MA,3/28/2023,NULL,Active,Contract,Full-Time,NULL,Shared Services Manager,Administration,Zone B,Needs Improvement,3
1034,Dennis,Livingston,dennis.livingston@bilearner.com,12/8/1977,47,Female,Black,Single,MA,5/6/2019,NULL,Active,Full-Time,Full-Time,NULL,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1035,Case,Russell,case.russell@bilearner.com,2/16/1979,46,Female,Asian,Divorced,MA,10/13/2020,NULL,Active,Full-Time,Temporary,NULL,Senior BI Developer,Data & Analytics,Zone A,Needs Improvement,3
1036,Kody,Jimenez,kody.jimenez@bilearner.com,8/8/1993,32,Male,Asian,Single,MA,7/6/2021,11/25/2021,Voluntarily Terminated,Part-Time,Part-Time,Resignation,Senior BI Developer,Data & Analytics,Zone A,Needs Improvement,3
1037,Zoe,Colon,zoe.colon@bilearner.com,7/27/1993,32,Male,Other,Widowed,MA,9/24/2020,11/2/2020,Voluntarily Terminated,Part-Time,Part-Time,Voluntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1038,Courtney,Cowan,courtney.cowan@bilearner.com,5/4/1971,54,Male,Hispanic,Married,MA,1/18/2023,NULL,Active,Contract,Part-Time,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1039,Nolan,Perez,nolan.perez@bilearner.com,11/17/1982,42,Female,Other,Widowed,MA,8/22/2019,3/25/2022,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineer,Engineering,Zone B,Needs Improvement,3
1040,Katrina,Farrell,katrina.farrell@bilearner.com,4/25/1972,53,Male,White,Divorced,MA,7/25/2019,12/17/2022,Retired,Contract,Part-Time,Retirement,Software Engineer,Engineering,Zone A,Needs Improvement,3
1041,Camden,Kelly,camden.kelly@bilearner.com,11/4/1976,48,Male,White,Single,MA,11/11/2019,1/10/2020,Retired,Full-Time,Full-Time,Retirement,Software Engineer,Engineering,Zone A,Needs Improvement,3
1042,Milo,Hood,milo.hood@bilearner.com,8/18/1942,82,Male,Black,Widowed,MA,7/16/2022,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1043,Kale,Lang,kale.lang@bilearner.com,12/16/1955,69,Female,White,Married,MA,12/19/2022,5/10/2023,Voluntarily Terminated,Full-Time,Full-Time,Resignation,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1044,Shyanne,Stark,shyanne.stark@bilearner.com,9/16/1956,68,Female,Hispanic,Divorced,MA,9/15/2020,NULL,Active,Contract,Temporary,NULL,Shared Services Manager,Administration,Zone A,Needs Improvement,3
1045,Elliott,Ashley,elliott.ashley@bilearner.com,6/10/1963,62,Female,Black,Single,MA,10/4/2020,2/27/2023,Involuntarily Terminated,Full-Time,Temporary,Involuntary,Senior BI Developer,Data & Analytics,Zone C,Needs Improvement,3
1046,Genesis,Todd,genesis.todd@bilearner.com,11/17/1962,62,Male,White,Single,MA,4/23/2022,8/3/2022,Involuntarily Terminated,Full-Time,Temporary,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1047,Sincere,Jimenez,sincere.jimenez@bilearner.com,11/24/1947,77,Female,Hispanic,Single,MA,11/27/2021,NULL,Active,Contract,Part-Time,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1048,Stephen,Daugherty,stephen.daugherty@bilearner.com,7/19/1956,69,Male,Asian,Widowed,MA,11/29/2019,NULL,Active,Part-Time,Temporary,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1049,Demarion,Morrow,demarion.morrow@bilearner.com,9/26/1954,70,Male,White,Married,MA,5/30/2019,12/19/2020,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineer,Engineering,Zone B,Needs Improvement,3
1050,Steven,Schneider,steven.schneider@bilearner.com,7/4/1993,32,Male,Black,Widowed,MA,11/23/2020,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1051,Devon,Hinton,devon.hinton@bilearner.com,4/29/1981,44,Male,White,Divorced,MA,4/8/2022,1/11/2023,Involuntarily Terminated,Full-Time,Full-Time,Involuntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1052,Jacquelyn,Johns,jacquelyn.johns@bilearner.com,6/21/1980,45,Female,Hispanic,Single,MA,2/25/2021,6/4/2021,Voluntarily Terminated,Contract,Part-Time,Voluntary,Shared Services Manager,Administration,Zone B,Needs Improvement,3
1053,Blaine,Keith,blaine.keith@bilearner.com,7/25/1947,78,Female,Hispanic,Divorced,MA,3/13/2019,4/7/2021,Voluntarily Terminated,Contract,Full-Time,Resignation,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1054,Phillip,Salazar,phillip.salazar@bilearner.com,5/10/1993,32,Male,White,Single,MA,2/12/2023,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1055,Chaz,Webb,chaz.webb@bilearner.com,11/24/1995,29,Female,White,Widowed,MA,9/8/2018,NULL,Active,Contract,Full-Time,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1056,Desmond,Anderson,desmond.anderson@bilearner.com,9/1/1943,81,Male,Hispanic,Widowed,MA,11/18/2021,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1057,Sophie,Decker,sophie.decker@bilearner.com,10/27/1998,26,Male,Asian,Widowed,MA,7/1/2023,NULL,Active,Full-Time,Full-Time,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1058,Lena,Bryan,lena.bryan@bilearner.com,3/13/1942,83,Male,Hispanic,Married,MA,4/18/2022,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1059,Kelsie,Mccormick,kelsie.mccormick@bilearner.com,5/23/1974,51,Female,Asian,Widowed,MA,4/29/2023,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1060,Frida,Livingston,frida.livingston@bilearner.com,2/5/1976,49,Female,Black,Single,MA,10/10/2018,12/25/2018,Voluntarily Terminated,Part-Time,Part-Time,Voluntary,Shared Services Manager,Administration,Zone B,Needs Improvement,3
1061,Isai,Alvarado,isai.alvarado@bilearner.com,5/21/1993,32,Female,Other,Single,MA,11/20/2022,NULL,Active,Part-Time,Part-Time,NULL,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1062,Travis,Vasquez,travis.vasquez@bilearner.com,11/3/1969,55,Male,Hispanic,Married,MA,5/18/2019,1/14/2020,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1063,Jazlene,Maynard,jazlene.maynard@bilearner.com,4/19/1945,80,Female,Black,Single,MA,6/22/2021,NULL,Active,Full-Time,Temporary,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1064,Wyatt,Donovan,wyatt.donovan@bilearner.com,2/24/1987,38,Male,White,Divorced,MA,3/30/2022,4/13/2022,Retired,Part-Time,Part-Time,Retirement,Software Engineer,Engineering,Zone A,Needs Improvement,3
1065,Nathaly,Cooper,nathaly.cooper@bilearner.com,6/26/1995,30,Male,Other,Widowed,MA,8/28/2018,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1066,Gage,Weeks,gage.weeks@bilearner.com,4/23/1981,44,Male,Hispanic,Single,MA,12/27/2021,1/5/2023,Voluntarily Terminated,Full-Time,Temporary,Voluntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1067,Gavin,Frye,gavin.frye@bilearner.com,12/7/1948,76,Female,White,Married,MA,11/14/2020,NULL,Active,Part-Time,Temporary,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1068,Amber,Ross,amber.ross@bilearner.com,12/24/1998,26,Female,Black,Widowed,MA,10/1/2021,NULL,Active,Full-Time,Full-Time,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1069,Wyatt,Edwards,wyatt.edwards@bilearner.com,9/13/1975,49,Female,Other,Widowed,MA,10/13/2018,5/28/2023,Voluntarily Terminated,Full-Time,Full-Time,Resignation,Shared Services Manager,Administration,Zone B,Needs Improvement,3
1070,Karla,Reed,karla.reed@bilearner.com,11/4/1998,26,Male,Black,Married,MA,12/15/2018,5/28/2022,Voluntarily Terminated,Full-Time,Temporary,Resignation,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1071,Yadira,Mcmillan,yadira.mcmillan@bilearner.com,6/23/1968,57,Male,Black,Married,MA,3/28/2019,10/17/2020,Involuntarily Terminated,Contract,Part-Time,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1072,Fernando,Mcconnell,fernando.mcconnell@bilearner.com,1/20/1977,48,Female,Asian,Widowed,MA,12/27/2018,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1073,Sean,Bean,sean.bean@bilearner.com,9/24/1998,26,Male,White,Single,MA,5/11/2019,NULL,Active,Full-Time,Full-Time,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1074,Lilianna,Mccall,lilianna.mccall@bilearner.com,7/8/1983,42,Male,Asian,Divorced,MA,2/19/2021,2/24/2023,Voluntarily Terminated,Full-Time,Temporary,Voluntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1075,Salvador,Thomas,salvador.thomas@bilearner.com,4/23/1968,57,Male,Asian,Married,MA,11/5/2022,4/16/2023,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Software Engineer,Engineering,Zone B,Needs Improvement,3
1076,Jair,Silva,jair.silva@bilearner.com,1/28/1943,82,Female,White,Widowed,MA,3/22/2020,9/28/2020,Retired,Contract,Part-Time,Retirement,Software Engineer,Engineering,Zone C,Needs Improvement,3
1077,Derek,Moreno,derek.moreno@bilearner.com,5/10/1992,33,Female,Black,Single,MA,2/2/2019,NULL,Active,Contract,Temporary,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1078,Litzy,Conner,litzy.conner@bilearner.com,3/19/1997,28,Female,Asian,Divorced,MA,2/24/2020,6/16/2021,Voluntarily Terminated,Contract,Temporary,Voluntary,Software Engineer,Engineering,Zone C,Needs Improvement,3
1079,Joanna,Burnett,joanna.burnett@bilearner.com,4/11/2000,25,Female,Hispanic,Divorced,MA,4/7/2021,5/1/2022,Voluntarily Terminated,Part-Time,Part-Time,Resignation,Shared Services Manager,Administration,Zone B,Needs Improvement,3
1080,Abdullah,Frederick,abdullah.frederick@bilearner.com,8/4/1988,37,Male,Black,Widowed,MA,11/14/2020,NULL,Active,Part-Time,Part-Time,NULL,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1081,Armani,Porter,armani.porter@bilearner.com,8/24/1965,59,Male,Asian,Divorced,MA,1/17/2022,8/10/2022,Involuntarily Terminated,Contract,Part-Time,Involuntary,Software Engineer,Engineering,Zone B,Needs Improvement,3
1082,Taylor,Sanders,taylor.sanders@bilearner.com,3/3/1976,49,Male,Other,Married,MA,9/2/2021,6/27/2023,Retired,Part-Time,Part-Time,Retirement,Software Engineer,Engineering,Zone B,Needs Improvement,3
1083,Iliana,Randall,iliana.randall@bilearner.com,1/9/1963,62,Female,Asian,Divorced,MA,7/30/2023,NULL,Active,Part-Time,Part-Time,NULL,Software Engineer,Engineering,Zone A,Needs Improvement,3
1084,Luke,Henderson,luke.henderson@bilearner.com,8/12/1989,35,Male,White,Single,MA,6/27/2023,NULL,Active,Contract,Part-Time,NULL,Software Engineer,Engineering,Zone C,Needs Improvement,3
1085,Madelyn,Lambert,madelyn.lambert@bilearner.com,3/10/1952,73,Male,Other,Divorced,MA,3/27/2022,NULL,Active,Contract,Full-Time,NULL,Software Engineer,Engineering,Zone B,Needs Improvement,3
1086,Ava,Pace,ava.pace@bilearner.com,7/30/1973,52,Female,Black,Single,MA,8/12/2022,10/20/2022,Voluntarily Terminated,Contract,Temporary,Voluntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1087,Delaney,Bruce,delaney.bruce@bilearner.com,8/5/1974,51,Female,Other,Married,MA,7/8/2022,8/4/2023,Voluntarily Terminated,Part-Time,Part-Time,Voluntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1088,Jair,Bullock,jair.bullock@bilearner.com,4/8/1991,34,Female,White,Widowed,MA,8/15/2020,1/23/2021,Voluntarily Terminated,Contract,Part-Time,Resignation,Software Engineer,Engineering,Zone B,Needs Improvement,3
1089,Kayla,Farrell,kayla.farrell@bilearner.com,4/29/1953,72,Female,Black,Married,MA,5/27/2023,6/14/2023,Involuntarily Terminated,Full-Time,Temporary,Involuntary,Software Engineer,Engineering,Zone A,Needs Improvement,3
1090,Taylor,Gamble,taylor.gamble@bilearner.com,8/28/1965,59,Female,Black,Divorced,MA,1/2/2023,NULL,Active,Part-Time,Part-Time,NULL,Shared Services Manager,Administration,Zone C,Needs Improvement,3
1091,Carl,Desimone,carl.desimone@bilearner.com,8/26/1986,38,Male,Asian,Single,MA,11/16/2018,4/3/2021,Involuntarily Terminated,Contract,Temporary,Involuntary,Production Technician I,Production & Operations,Zone B,Needs Improvement,3
1092,Sophia,Theamstern,sophia.theamstern@bilearner.com,1/27/1970,55,Female,Hispanic,Divorced,MA,7/12/2022,NULL,Active,Part-Time,Part-Time,NULL,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1093,Kara,Harrison,kara.harrison@bilearner.com,4/26/1979,46,Female,Asian,Widowed,MA,12/16/2022,NULL,Active,Contract,Part-Time,NULL,Production Technician I,Production & Operations,Zone B,Needs Improvement,3
1094,Ming,Huynh,ming.huynh@bilearner.com,3/18/1994,31,Female,Other,Single,MA,5/8/2023,NULL,Active,Part-Time,Part-Time,NULL,Production Technician II,Production & Operations,Zone A,Needs Improvement,3
1095,Karen,Mancuso,karen.mancuso@bilearner.com,11/28/1941,83,Female,Hispanic,Divorced,MA,4/7/2023,NULL,Active,Full-Time,Temporary,NULL,Production Technician II,Production & Operations,Zone A,Needs Improvement,3
1096,Linda,Anderson,linda.anderson@bilearner.com,1/11/1973,52,Female,Asian,Married,MA,2/15/2022,10/19/2022,Voluntarily Terminated,Part-Time,Part-Time,Voluntary,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1097,Nilson,Fernandes,nilson.fernandes@bilearner.com,8/2/1999,26,Male,Hispanic,Divorced,MA,7/17/2023,8/3/2023,Involuntarily Terminated,Contract,Part-Time,Involuntary,Production Technician I,Production & Operations,Zone B,Needs Improvement,3
1098,Alain,Robinson,alain.robinson@bilearner.com,1/10/1993,32,Male,Asian,Widowed,MA,5/3/2019,6/2/2023,Involuntarily Terminated,Part-Time,Temporary,Involuntary,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1099,Seffi,Shields,seffi.shields@bilearner.com,12/24/1971,53,Female,Other,Single,MA,3/25/2022,4/22/2022,Retired,Part-Time,Part-Time,Retirement,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1100,Horia,Ndzi,horia.ndzi@bilearner.com,5/10/1964,61,Male,White,Divorced,MA,4/7/2020,NULL,Active,Full-Time,Temporary,NULL,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1101,Evelyn,Girifalco,evelyn.girifalco@bilearner.com,3/19/1944,81,Female,White,Widowed,MA,3/10/2021,NULL,Active,Full-Time,Full-Time,NULL,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1102,Ermine,Pelletier,ermine.pelletier@bilearner.com,9/19/1953,71,Female,Black,Single,MA,8/4/2019,NULL,Active,Part-Time,Part-Time,NULL,Production Technician II,Production & Operations,Zone A,Needs Improvement,3
1103,Samuel,MacLennan,samuel.maclennan@bilearner.com,4/2/1957,68,Male,Asian,Widowed,MA,4/11/2021,5/27/2023,Involuntarily Terminated,Full-Time,Temporary,Involuntary,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1104,Sean,Bernstein,sean.bernstein@bilearner.com,9/14/1995,29,Male,Asian,Divorced,MA,6/16/2019,NULL,Active,Part-Time,Temporary,NULL,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1105,Shakira,Perry,shakira.perry@bilearner.com,10/11/1948,76,Female,Hispanic,Single,MA,10/8/2020,12/4/2022,Voluntarily Terminated,Contract,Full-Time,Voluntary,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1106,Michael J,Fitzpatrick,michael j.fitzpatrick@bilearner.com,1/1/1995,30,Male,Other,Single,MA,8/18/2021,NULL,Active,Full-Time,Temporary,NULL,Production Technician II,Production & Operations,Zone B,Needs Improvement,3
1107,Cybil,Trzeciak,cybil.trzeciak@bilearner.com,2/9/1992,33,Female,Other,Single,MA,3/16/2020,NULL,Active,Contract,Part-Time,NULL,Production Technician II,Production & Operations,Zone A,Needs Improvement,3
1108,Barry,Wilber,barry.wilber@bilearner.com,4/18/1969,56,Male,White,Married,MA,1/24/2019,NULL,Active,Full-Time,Full-Time,NULL,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1109,Enola,Chivukula,enola.chivukula@bilearner.com,10/1/1981,43,Female,White,Divorced,MA,6/11/2022,9/25/2022,Retired,Full-Time,Full-Time,Retirement,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1110,Joelle,Burke,joelle.burke@bilearner.com,5/5/1987,38,Female,Asian,Single,MA,7/2/2022,NULL,Active,Full-Time,Temporary,NULL,Production Technician II,Production & Operations,Zone B,Needs Improvement,3
1111,Alexandra,Kirill,alexandra.kirill@bilearner.com,5/31/1952,73,Female,White,Widowed,MA,9/8/2019,8/29/2020,Retired,Full-Time,Full-Time,Retirement,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1112,Celeste,Johnson,celeste.johnson@bilearner.com,7/15/1975,50,Female,White,Single,MA,7/10/2022,NULL,Active,Full-Time,Full-Time,NULL,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1113,Nathalia,Hendrix,nathalia.hendrix@bilearner.com,9/3/1976,48,Female,Asian,Divorced,MA,4/24/2022,NULL,Active,Contract,Part-Time,NULL,Production Technician I,Production & Operations,Zone B,Needs Improvement,3
1114,Justus,Bowen,justus.bowen@bilearner.com,12/31/1960,64,Female,Hispanic,Widowed,MA,3/31/2020,NULL,Active,Full-Time,Full-Time,NULL,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1115,Marcus,Bender,marcus.bender@bilearner.com,2/19/1997,28,Male,Black,Widowed,MA,3/23/2019,NULL,Active,Contract,Part-Time,NULL,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1116,Ryker,Logan,ryker.logan@bilearner.com,8/10/1984,40,Male,White,Divorced,MA,3/9/2019,7/12/2023,Voluntarily Terminated,Full-Time,Full-Time,Voluntary,Production Technician I,Production & Operations,Zone A,Needs Improvement,3
1117,Payten,Middleton,payten.middleton@bilearner.com,8/23/1997,27,Male,Other,Divorced,MA,2/21/2019,3/6/2019,Voluntarily Terminated,Full-Time,Temporary,Resignation,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1118,Harrison,Hunt,harrison.hunt@bilearner.com,2/29/1976,49,Male,Asian,Divorced,MA,10/4/2019,11/26/2022,Retired,Full-Time,Temporary,Retirement,Production Technician I,Production & Operations,Zone B,Needs Improvement,3
1119,Orlando,Henderson,orlando.henderson@bilearner.com,12/31/1994,30,Female,White,Single,MA,11/24/2019,12/20/2020,Involuntarily Terminated,Part-Time,Part-Time,Involuntary,Production Technician I,Production & Operations,Zone C,Needs Improvement,3
1120,Darian,Potts,darian.potts@bilearner.com,9/20/1968,56,Female,Black,Divorced,MA,8/17/2020,NULL,Active,Part-Time,Temporary,NULL,Production Technician I,Production & Operations,Zone B,Needs Improvement,3
1121,Isabela,Collins,isabela.collins@bilearner.com,5/29/1981,44,Female,Hispanic,Widowed,MA,3/16/2021,NULL,Active,Part-Time,Part-Time,NULL,Production Manager,Production & Operations,Zone C,Needs Improvement,3
1122,Sierra,Macias,sierra.macias@bilearner.com,11/13/1975,49,Female,White,Married,MA,11/16/2021,8/26/2022,Retired,Contract,Part-Time,Retirement,Production Manager,Production & Operations,Zone C,Needs Improvement,3
